Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.203258e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011034 | lrm: 1.00 | dt: 6711ms | tok/sec: 4,882 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.919419 | lrm: 1.00 | dt: 145ms | tok/sec: 225,916 | mfu: 2.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.702668 | lrm: 1.00 | dt: 136ms | tok/sec: 241,210 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.407941 | lrm: 1.00 | dt: 132ms | tok/sec: 248,569 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.097349 | lrm: 1.00 | dt: 132ms | tok/sec: 248,326 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.848892 | lrm: 1.00 | dt: 132ms | tok/sec: 248,468 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.622506 | lrm: 1.00 | dt: 132ms | tok/sec: 248,265 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.430934 | lrm: 1.00 | dt: 132ms | tok/sec: 248,320 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.267440 | lrm: 1.00 | dt: 132ms | tok/sec: 247,965 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.125974 | lrm: 1.00 | dt: 132ms | tok/sec: 248,306 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.995863 | lrm: 1.00 | dt: 132ms | tok/sec: 248,190 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878137 | lrm: 1.00 | dt: 133ms | tok/sec: 247,091 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.779044 | lrm: 1.00 | dt: 133ms | tok/sec: 247,279 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.682575 | lrm: 1.00 | dt: 132ms | tok/sec: 247,491 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.591258 | lrm: 1.00 | dt: 132ms | tok/sec: 247,381 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.519322 | lrm: 1.00 | dt: 132ms | tok/sec: 247,764 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.446413 | lrm: 1.00 | dt: 133ms | tok/sec: 247,155 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.383422 | lrm: 1.00 | dt: 132ms | tok/sec: 247,439 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.336893 | lrm: 1.00 | dt: 133ms | tok/sec: 247,073 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.276083 | lrm: 1.00 | dt: 133ms | tok/sec: 247,194 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.239288 | lrm: 1.00 | dt: 132ms | tok/sec: 247,695 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 6.185114 | lrm: 1.00 | dt: 133ms | tok/sec: 247,127 | mfu: 3.0% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 6.151365 | lrm: 1.00 | dt: 133ms | tok/sec: 247,169 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 6.110127 | lrm: 1.00 | dt: 132ms | tok/sec: 247,758 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 6.074759 | lrm: 1.00 | dt: 132ms | tok/sec: 247,477 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 6.039722 | lrm: 1.00 | dt: 133ms | tok/sec: 247,231 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 6.001805 | lrm: 1.00 | dt: 136ms | tok/sec: 241,229 | mfu: 2.9% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.981764 | lrm: 1.00 | dt: 133ms | tok/sec: 246,788 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.946486 | lrm: 1.00 | dt: 133ms | tok/sec: 247,268 | mfu: 3.0% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 5.919788 | lrm: 1.00 | dt: 133ms | tok/sec: 247,010 | mfu: 3.0% | epoch: 1 | remaining: 297s    
step 00030 (0.8%) | loss: 5.898509 | lrm: 1.00 | dt: 133ms | tok/sec: 247,222 | mfu: 3.0% | epoch: 1 | remaining: 297s    
